title,description,url,publishedAt
Gray Private Wealth LLC Sells 201 Shares of Apple Inc. (NASDAQ:AAPL),"Gray Private Wealth LLC lowered its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 1.6% during the third quarter, according to the company in its most recent Form 13F filing with the SEC. The institutional investor owned 12,037 shares of the iPhone mak…",https://www.etfdailynews.com/2024/12/11/gray-private-wealth-llc-sells-201-shares-of-apple-inc-nasdaqaapl/,2024-12-11T08:36:57Z
Ballast Inc. Trims Stock Position in Apple Inc. (NASDAQ:AAPL),"Ballast Inc. trimmed its stake in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 3.8% in the third quarter, Holdings Channel.com reports. The fund owned 56,860 shares of the iPhone maker’s stock after selling 2,236 shares during the quarter. Apple makes …",https://www.etfdailynews.com/2024/12/11/ballast-inc-trims-stock-position-in-apple-inc-nasdaqaapl/,2024-12-11T08:36:57Z
Vista Investment Partners LLC Has $11.03 Million Stake in Apple Inc. (NASDAQ:AAPL),"Vista Investment Partners LLC raised its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.3% during the third quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 47,320 shares of the …",https://www.etfdailynews.com/2024/12/11/vista-investment-partners-llc-has-11-03-million-stake-in-apple-inc-nasdaqaapl/,2024-12-11T08:36:56Z
BCS Wealth Management Decreases Stock Position in Apple Inc. (NASDAQ:AAPL),"BCS Wealth Management reduced its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 29.6% in the 3rd quarter, HoldingsChannel.com reports. The fund owned 22,853 shares of the iPhone maker’s stock after selling 9,589 shares during the period. App…",https://www.etfdailynews.com/2024/12/11/bcs-wealth-management-decreases-stock-position-in-apple-inc-nasdaqaapl/,2024-12-11T08:36:54Z
"Krane Funds Advisors LLC Has $474,000 Stock Holdings in Apple Inc. (NASDAQ:AAPL)","Krane Funds Advisors LLC cut its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 63.5% in the 3rd quarter, HoldingsChannel reports. The fund owned 2,035 shares of the iPhone maker’s stock after selling 3,535 shares during the period. Apple mak…",https://www.etfdailynews.com/2024/12/11/krane-funds-advisors-llc-has-474000-stock-holdings-in-apple-inc-nasdaqaapl/,2024-12-11T08:36:54Z
"Madrona Financial Services LLC Acquires 4,450 Shares of Apple Inc. (NASDAQ:AAPL)","Madrona Financial Services LLC lifted its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 12.1% during the 3rd quarter, HoldingsChannel reports. The fund owned 41,344 shares of the iPhone maker’s stock after buying an additional 4,450 shares during the per…",https://www.etfdailynews.com/2024/12/11/madrona-financial-services-llc-acquires-4450-shares-of-apple-inc-nasdaqaapl/,2024-12-11T08:36:53Z
Apple Inc. (NASDAQ:AAPL) is Ellenbecker Investment Group’s 10th Largest Position,"Ellenbecker Investment Group trimmed its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 4.1% during the 3rd quarter, Holdings Channel reports. The fund owned 35,291 shares of the iPhone maker’s stock after selling 1,525 shares during the peri…",https://www.etfdailynews.com/2024/12/11/apple-inc-nasdaqaapl-is-ellenbecker-investment-groups-10th-largest-position/,2024-12-11T08:36:53Z
Berkshire Money Management Inc. Sells 252 Shares of Apple Inc. (NASDAQ:AAPL),"Berkshire Money Management Inc. cut its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.2% during the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 20,487 shares o…",https://www.etfdailynews.com/2024/12/11/berkshire-money-management-inc-sells-252-shares-of-apple-inc-nasdaqaapl/,2024-12-11T08:36:53Z
Apple Inc. (NASDAQ:AAPL) Shares Sold by Sweet Financial Partners LLC,"Sweet Financial Partners LLC reduced its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 3.5% in the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The fund owned 38,146 shares of the iPhone maker’s sto…",https://www.etfdailynews.com/2024/12/11/apple-inc-nasdaqaapl-shares-sold-by-sweet-financial-partners-llc/,2024-12-11T08:36:49Z
LexAurum Advisors LLC Has $15.88 Million Holdings in Apple Inc. (NASDAQ:AAPL),"LexAurum Advisors LLC trimmed its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 1.6% in the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The firm owned 68,165 shares of the iPhone maker’…",https://www.etfdailynews.com/2024/12/11/lexaurum-advisors-llc-has-15-88-million-holdings-in-apple-inc-nasdaqaapl/,2024-12-11T08:36:49Z
