title,description,url,publishedAt
"Grapevine December 11, 2024: Dereliction of duty Down Under",Movers and shakers in Israeli society.,https://www.jpost.com/israel-news/article-832878,2024-12-10T22:46:31Z
2:00PM Water Cooler 12/10/2024,"~ Today's Water Cooler: Politics, syndemics; Trump, the world's greatest troll; Hegseth et al. still alive; ""RuissiaGate Remnants""; Claims Adjuster roundup ~",https://www.nakedcapitalism.com/2024/12/200pm-water-cooler-12-10-2024.html,2024-12-10T19:00:53Z
FBI Issues Statement as Mystery Drone Sightings Reach New York,"The sightings, which began in November, have alarmed residents and led to an ongoing FBI investigation.",https://www.newsweek.com/fbi-issues-statement-mystery-drone-sightings-reach-new-york-1998614,2024-12-10T16:39:47Z
"This mid-range gaming laptop feels like the forgotten middle child, and isn't difficult to understand why",The Lenovo Legion 5i (Gen 9) is a pretty great mid-range gaming laptop that's rather confusingly positioned in Lenovo's lineup (and a little difficult to find).,https://www.windowscentral.com/hardware/lenovo/lenovo-legion-5i-gen-9-review,2024-12-10T15:00:00Z
Atossa Therapeutics to Present Pharmacokinetic and Tolerability Data from Phase 2 EVANGELINE Trial at the 2024 San Antonio Breast Cancer Symposium,"SEATTLE, Dec. 10, 2024 (GLOBE NEWSWIRE) -- Atossa Therapeutics, Inc. (Nasdaq: ATOS) (“Atossa” or the “Company”), a clinical stage biopharmaceutical company developing innovative medicines in areas of significant unmet medical need in oncology with a focus on …",https://www.globenewswire.com/news-release/2024/12/10/2994632/0/en/Atossa-Therapeutics-to-Present-Pharmacokinetic-and-Tolerability-Data-from-Phase-2-EVANGELINE-Trial-at-the-2024-San-Antonio-Breast-Cancer-Symposium.html,2024-12-10T14:05:00Z
FT Vest U.S. Equity Buffer ETF – March (BATS:FMAR) Shares Cross Above 200-Day Moving Average – Here’s What Happened,FT Vest U.S. Equity Buffer ETF – March (BATS:FMAR – Get Free Report) shares crossed above its two hundred day moving average during trading on Monday . The stock has a two hundred day moving average of $41.54 and traded as high as $43.62. FT Vest U.S. Equity …,https://www.etfdailynews.com/2024/12/10/ft-vest-u-s-equity-buffer-etf-march-batsfmar-shares-cross-above-200-day-moving-average-heres-what-happened/,2024-12-10T08:57:02Z
FT Vest U.S. Equity Deep Buffer ETF – October (BATS:DOCT) Shares Cross Above 200 Day Moving Average – Here’s What Happened,FT Vest U.S. Equity Deep Buffer ETF – October (BATS:DOCT – Get Free Report) shares crossed above its 200-day moving average during trading on Monday . The stock has a 200-day moving average of $38.80 and traded as high as $39.92. FT Vest U.S. Equity Deep Buff…,https://www.etfdailynews.com/2024/12/10/ft-vest-u-s-equity-deep-buffer-etf-october-batsdoct-shares-cross-above-200-day-moving-average-heres-what-happened/,2024-12-10T08:56:57Z
Rockefeller Capital Management L.P. Sells 777 Shares of FT Vest U.S. Equity Buffer ETF – October (BATS:FOCT),"Rockefeller Capital Management L.P. reduced its holdings in shares of FT Vest U.S. Equity Buffer ETF – October (BATS:FOCT – Free Report) by 4.9% during the third quarter, HoldingsChannel reports. The firm owned 15,092 shares of the company’s stock after selli…",https://www.etfdailynews.com/2024/12/10/rockefeller-capital-management-l-p-sells-777-shares-of-ft-vest-u-s-equity-buffer-etf-october-batsfoct/,2024-12-10T08:51:03Z
UnitedHealthcare CEO’s Killing Highlights Dangers Of The Top Job,"Also in the Forbes CEO newsletter: Avery Dennison’s CEO on the drive to continue innovation, November labor indicators move up and down, TikTok ban upheld.",https://www.forbes.com/sites/meganpoinski/2024/12/09/unitedhealthcare-ceos-killing-highlights-dangers-of-the-top-job/,2024-12-09T17:35:29Z
Atossa Therapeutics Presents Data from Study Investigating Anti-Cancer Activity of (Z)-Endoxifen-Related Compounds at AACR Special Conference in Cancer Research,"Novel Compounds Demonstrate Promising Anti-Tumor Activity in Estrogen Receptor-Positive (ERα+) Breast Cancer, Including Endocrine-Resistant Tumors Novel Compounds Demonstrate Promising Anti-Tumor Activity in Estrogen Receptor-Positive (ERα+) Breast Cancer, In…",https://www.globenewswire.com/news-release/2024/12/09/2993745/0/en/Atossa-Therapeutics-Presents-Data-from-Study-Investigating-Anti-Cancer-Activity-of-Z-Endoxifen-Related-Compounds-at-AACR-Special-Conference-in-Cancer-Research.html,2024-12-09T13:15:00Z
FT Vest U.S. Equity Buffer ETF – December (BATS:FDEC) Stock Position Decreased by Rockefeller Capital Management L.P.,"Rockefeller Capital Management L.P. decreased its position in FT Vest U.S. Equity Buffer ETF – December (BATS:FDEC – Free Report) by 33.2% in the 3rd quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owne…",https://www.etfdailynews.com/2024/12/09/ft-vest-u-s-equity-buffer-etf-december-batsfdec-stock-position-decreased-by-rockefeller-capital-management-l-p/,2024-12-09T08:52:55Z
Rockefeller Capital Management L.P. Has $1.09 Million Stake in FT Vest U.S. Equity Deep Buffer ETF – June (BATS:DJUN),"Rockefeller Capital Management L.P. grew its holdings in FT Vest U.S. Equity Deep Buffer ETF – June (BATS:DJUN – Free Report) by 27.5% during the 3rd quarter, according to the company in its most recent disclosure with the SEC. The fund owned 25,705 shares of…",https://www.etfdailynews.com/2024/12/09/rockefeller-capital-management-l-p-has-1-09-million-stake-in-ft-vest-u-s-equity-deep-buffer-etf-june-batsdjun/,2024-12-09T08:41:03Z
History says the S&P 500 will go against intuition in 2025 after a record-breaking year,"History – and markets – are on our side.
The post History says the S&P 500 will go against intuition in 2025 after a record-breaking year appeared first on The Motley Fool Australia.",https://www.fool.com.au/2024/12/09/history-says-the-sp-500-will-go-against-intuition-in-2025-after-a-record-breaking-year/,2024-12-09T00:57:19Z
New classes based on woeful lack of civics education,"CHAPEL HILL, N.C. – As the autumn sun warms the historic campus outside, a professor specializing in ancient and modern political philosophy guides undergraduate students through the seemingly ruthless nuances of Machiavelli’s 16th-century philosophy of moral…",https://www.wnd.com/2024/12/new-classes-based-on-woeful-lack-of-civics-education/,2024-12-08T23:02:44Z
"Trump says he can't guarantee tariffs won't raise prices, won't rule out revenge prosecutions","In an interview with NBC's ""Meet the Press,"" he again suggested political rivals should be imprisoned and repeated his deportation promises.",https://richmond.com/news/nation-world/government-politics/politics-revenge-justice-immigration/article_dd8c96bd-40db-519b-b2ae-836493657cb5.html,2024-12-08T19:30:00Z
